date,state,total_cases,total_deaths
24/4/2020,WP PUTRAJAYA,78,0
24/4/2020,WP LABUAN,16,0
25/4/2020,PERLIS,18,1
25/4/2020,KEDAH,95,1
25/4/2020,PULAU PINANG,119,1
25/4/2020,PERAK,252,6
25/4/2020,SELANGOR,1388,10
25/4/2020,NEGERI SEMBILAN,433,7
25/4/2020,MELAKA,192,4
25/4/2020,JOHOR,655,17
25/4/2020,PAHANG,288,3
25/4/2020,TERENGGANU,110,1
25/4/2020,KELANTAN,155,3
25/4/2020,SABAH,311,4
25/4/2020,SARAWAK,478,16
25/4/2020,WP KUALA LUMPUR,1154,23
25/4/2020,WP PUTRAJAYA,78,0
25/4/2020,WP LABUAN,16,0
26/4/2020,PERLIS,18,1
26/4/2020,KEDAH,95,1
26/4/2020,PULAU PINANG,121,1
26/4/2020,PERAK,252,6
26/4/2020,SELANGOR,1394,10
26/4/2020,NEGERI SEMBILAN,434,7
26/4/2020,MELAKA,193,4
26/4/2020,JOHOR,659,17
26/4/2020,PAHANG,288,3
26/4/2020,TERENGGANU,110,1
26/4/2020,KELANTAN,155,3
26/4/2020,SABAH,311,4
26/4/2020,SARAWAK,485,16
26/4/2020,WP KUALA LUMPUR,1170,23
26/4/2020,WP PUTRAJAYA,79,0
26/4/2020,WP LABUAN,16,0
27/4/2020,PERLIS,18,1
27/4/2020,KEDAH,95,1
27/4/2020,PULAU PINANG,121,1
27/4/2020,PERAK,253,6
27/4/2020,SELANGOR,1398,10
27/4/2020,NEGERI SEMBILAN,435,7
27/4/2020,MELAKA,193,4
27/4/2020,JOHOR,659,18
27/4/2020,PAHANG,288,3
27/4/2020,TERENGGANU,110,1
27/4/2020,KELANTAN,155,3
27/4/2020,SABAH,312,4
27/4/2020,SARAWAK,488,16
27/4/2020,WP KUALA LUMPUR,1200,23
27/4/2020,WP PUTRAJAYA,79,0
27/4/2020,WP LABUAN,16,0
